sample,Hash,nReads
Gb_BS_imp_15O4_s_31,25c6d636b16a64d78b86a2aef20c0744b0ad56d4,122
Gb_BS_imp_15O4_s_31,f44ac08e3c5cfad380cfa3d770592e146930c7f2,10692
Gb_BS_imp_15O4_s_31,f8b9eb41062c85032102ea133d3e36085b5bbd75,2
Gb_BS_imp_15O4_s_31,9aef3586aa256c6e06806ccb09ae7bb0a0f24341,250
Gb_BS_imp_15O4_s_31,81364306336c4fdbf9171b9062202fa9888b5d22,61
Gb_BS_imp_15O4_s_31,cbcd2c012848271e15edc3154fc47c5c524dafc4,58
Gb_BS_imp_15O4_s_31,dc1507f42aa6a040dd87d56105a6ff7b933aba67,215
Gb_BS_imp_15O4_s_31,06a7b6e29563fad3115aed47242f64b4ecc39631,107
Gb_BS_imp_15O4_s_31,2049189e2478cafb21a4b393587fb206d00d27fd,18
Gb_BS_imp_15O4_s_31,be98db49da359d00ef5f0ef66daa5781f90400f3,300
Gb_BS_imp_15O4_s_31,dd3e5188a883f3056a4fcafa6c09dc0ac9ee3188,44
Gb_BS_imp_15O4_s_31,38ef4436c971888c4be269c9d668d10338674896,216
Gb_BS_imp_15O4_s_31,807a6b956cc327ddd45c9ca5bca3e96c53f35132,20
Gb_BS_imp_15O4_s_31,6d6f14d6ba7aa6b49ddcda03715674e65f4792a9,141
Gb_BS_imp_15O4_s_31,89c967bc4d57f2abfaf1e31fa017df80aee15dd7,11
Gb_BS_imp_15O4_s_31,bb722ffcc977896e7012fb24d1eccd53c922775f,3
Gb_BS_imp_15O4_s_31,c798bf12c5660b628ddb3c5b86fdb15651d77c66,23
Gb_BS_imp_15O4_s_31,156fd688e8beddc614c70c49b717261fbb637028,29
Gb_BS_imp_15O4_s_31,f08c99ad9165a1a05445ea9a693565720ac3d020,21
Gb_BS_imp_15O4_s_31,f393df59f56e159ed6dfb479d30ea7277f66b21a,1338
Gb_BS_imp_15O4_s_31,7a48fe1c9acae79774795b7ea867371967275777,8
Gb_BS_imp_15O4_s_31,58d96685930a1927c9fa31eb17db8affb98f5df6,7
Gb_BS_imp_15O4_s_31,46a895216cce56873630d67fcbd35883689f1183,71
Gb_BS_imp_15O4_s_31,2d9ac27f72366b72bf7bcfc421c3cd2a84ea4bd8,2
Gb_BS_imp_15O4_s_31,e32702f9a9c5a44b6263c95e4dc73b416a07cd66,100
Gb_BS_imp_15O4_s_31,ffba567eb883aa515144cbb6941c0bcfbee4d06d,24
Gb_BS_imp_15O4_s_31,11f8ebd55d01e6c90723372800e8b2b08f036e12,20
Gb_BS_imp_15O4_s_31,18486c3e2a2ed81460269bb907059b6667dc21ba,33
Gb_BS_imp_15O4_s_31,4aef5cca6bf8bbd9319d24069765ef96d69e5ef7,2
Gb_BS_imp_15O4_s_31,dbcfeee1ff7e6afb68a3be329a72cedb2b7538ba,3
Gb_BS_imp_15O4_s_31,6406762c6985a76b13b50e0131273d726aed6b63,34
