sample,value,step,direction,file,Step
Gb_BS_imp_15O4_s_31,43267,ASV,Both,Both,ASV
Gb_BS_imp_18R6_s_38,93705,ASV,Both,Both,ASV
Gb_BS_imp_23W4_s_37,70796,ASV,Both,Both,ASV
Gb_BS_imp_9I4_s_39,51097,ASV,Both,Both,ASV
Gb_BS_unimp_14N5_s_41,127763,ASV,Both,Both,ASV
Gb_BS_unimp_3C6_s_43,63710,ASV,Both,Both,ASV
Gb_BS_unimp_4D2_s_40,53551,ASV,Both,Both,ASV
Gb_BS_unimp_6F4_s_42,77902,ASV,Both,Both,ASV
Gb_Can_M_Trip8-75.1_d_69,152442,ASV,Both,Both,ASV
Gb_Can_M_Trip8-75.2_d_70,126562,ASV,Both,Both,ASV
Gb_Can_M_Trip8-75.3_d_71,90938,ASV,Both,Both,ASV
Gb_Can_S_15O6_d_75,53382,ASV,Both,Both,ASV
Gb_Can_S_16P6_s_55,275916,ASV,Both,Both,ASV
Gb_Can_S_17Q3_d_77,127561,ASV,Both,Both,ASV
Gb_Can_S_23W6_d_78,45398,ASV,Both,Both,ASV
Gb_Can_S_2B6_d_76,100310,ASV,Both,Both,ASV
Gb_Can_S_5E2_s_44,125669,ASV,Both,Both,ASV
Gb_Can_S_8H6_s_54,90499,ASV,Both,Both,ASV
Gb_FS_MPA_14N4_s_50,75533,ASV,Both,Both,ASV
Gb_FS_MPA_20T6_s_49,74194,ASV,Both,Both,ASV
Gb_FS_MPA_22V2_s_51,100522,ASV,Both,Both,ASV
Gb_NOR_17Q2_s_01,130050,ASV,Both,Both,ASV
Gb_NOR_18R2_s_02,78586,ASV,Both,Both,ASV
Gb_NOR_1A7_s_03,63653,ASV,Both,Both,ASV
Gb_NwK_12L5_s_27,60510,ASV,Both,Both,ASV
Gb_NwK_21U5_s_28,77802,ASV,Both,Both,ASV
Gb_OK_289_d_02,75253,ASV,Both,Both,ASV
Gb_RSB_MPA_13M4_d_74,43638,ASV,Both,Both,ASV
Gb_RSB_MPA_13M5_d_72,64014,ASV,Both,Both,ASV
Gb_RSB_MPA_18R4_d_73,75344,ASV,Both,Both,ASV
Gb_SRT_1A5_s_23,127619,ASV,Both,Both,ASV
Gb_SRT_8H5_s_22,112559,ASV,Both,Both,ASV
Gb_Sva_20T5_s_25,68540,ASV,Both,Both,ASV
Gb_Sva_7G6_s_26,57925,ASV,Both,Both,ASV
Gb_Sw_15O5_s_21,153290,ASV,Both,Both,ASV
Gb_Sw_22V6_s_06,115641,ASV,Both,Both,ASV
Gh_Can_M_Trip8-75.5_d_66,116880,ASV,Both,Both,ASV
Gh_Can_M_Trip8-75.7_d_67,135646,ASV,Both,Both,ASV
Gh_Can_M_Trip8-75.8_d_68,105144,ASV,Both,Both,ASV
Gh_Ice_A11-641-B_s_25,212945,ASV,Both,Both,ASV
Gh_Ice_ME85-3-1123-2-C_d_59,139111,ASV,Both,Both,ASV
Gh_Ice_ME85-3-1123-B_d_60,193534,ASV,Both,Both,ASV
Gh_Ice_ME85-3-1132-A_s_32,231820,ASV,Both,Both,ASV
Gh_JMR-SM_AGT03-26_d_93,125531,ASV,Both,Both,ASV
Gh_JMR_DR01-A_d_87,96792,ASV,Both,Both,ASV
Gh_JMR_DR01-B_d_88,111716,ASV,Both,Both,ASV
Gh_JMR_DR01-C_d_89,98599,ASV,Both,Both,ASV
Gh_JMR_DR05-1-A_s_85,108558,ASV,Both,Both,ASV
Gh_JMR_DR05-1-B_s_86,109022,ASV,Both,Both,ASV
Gh_KS_193.1_d_79,64772,ASV,Both,Both,ASV
Gh_KS_193.2_d_81,186762,ASV,Both,Both,ASV
Gh_KS_197.1_s_57,131820,ASV,Both,Both,ASV
Gh_KS_200.5_s_58,111002,ASV,Both,Both,ASV
Gh_OK_293_d_01,169055,ASV,Both,Both,ASV
Gh_SM_AGT07-22.10_s_28,135917,ASV,Both,Both,ASV
Gh_SM_AGT07-22.2_s_56,136046,ASV,Both,Both,ASV
Gh_SM_AGT07-22.3_s_27,89334,ASV,Both,Both,ASV
Gh_SM_ROV12-11.2_d_29,52714,ASV,Both,Both,ASV
Gh_SM_ROV19-11_d_30,104098,ASV,Both,Both,ASV
Gh_Sva_100_d_82,136867,ASV,Both,Both,ASV
Gh_Sva_101_d_84,182098,ASV,Both,Both,ASV
Gh_Sva_62_s_31,53200,ASV,Both,Both,ASV
Gh_Vst_011TVG-004B_d_92,82060,ASV,Both,Both,ASV
Gh_Vst_019TVG-003B_d_90,171116,ASV,Both,Both,ASV
Gh_Vst_019TVG-010B_d_91,81831,ASV,Both,Both,ASV
Gh_Vst_045TVG-005B_i_61,196742,ASV,Both,Both,ASV
Gh_Vst_045TVG-011B_i_62,228475,ASV,Both,Both,ASV
Gh_Vst_045TVG-012B_i_64,154974,ASV,Both,Both,ASV
Gh_Vst_080TVG-009B_s_17,144894,ASV,Both,Both,ASV
Gh_Vst_080TVG-010B_s_18,299503,ASV,Both,Both,ASV
Gh_Vst_080TVG-013B_s_19,228034,ASV,Both,Both,ASV
Pv_FS_MPA_01601_s_52,47551,ASV,Both,Both,ASV
Pv_FS_MPA_01602_s_26,82190,ASV,Both,Both,ASV
Pv_FS_MPA_01603_s_53,32403,ASV,Both,Both,ASV
Pv_NoS_11452_s_08,102438,ASV,Both,Both,ASV
Pv_NoS_11456_s_22,100495,ASV,Both,Both,ASV
Pv_NoS_Notag_s_09,108395,ASV,Both,Both,ASV
Pv_NwK_ST5-38_s_29,78101,ASV,Both,Both,ASV
Pv_NwK_ST5-39_s_30,114489,ASV,Both,Both,ASV
Pv_RB_11218_s_13,229843,ASV,Both,Both,ASV
Pv_RB_11221_s_23,192934,ASV,Both,Both,ASV
Pv_RB_1418_s_15,95290,ASV,Both,Both,ASV
Pv_RB_1420_s_16,93052,ASV,Both,Both,ASV
Pv_RB_MPA_11417_s_20,69046,ASV,Both,Both,ASV
Pv_RB_MPA_11419_s_21,158801,ASV,Both,Both,ASV
Pv_RB_MPA_1865_s_24,47239,ASV,Both,Both,ASV
Pv_RB_MPA_1866_s_14,58865,ASV,Both,Both,ASV
Pv_SMK_ROV25-12_s_33,50310,ASV,Both,Both,ASV
Pv_SMK_ROV25-13_s_35,36099,ASV,Both,Both,ASV
Pv_SMK_ROV25-14_s_36,98142,ASV,Both,Both,ASV
Pv_SRT_046-26_s_11,65090,ASV,Both,Both,ASV
Pv_SRT_046-49_s_12,132800,ASV,Both,Both,ASV
Pv_SSNd_H044-01642_s_45,107416,ASV,Both,Both,ASV
Pv_SSNd_H044-01643_s_46,55021,ASV,Both,Both,ASV
Pv_SSNd_H044-01645_s_47,45194,ASV,Both,Both,ASV
Pv_Sw_11_s_05,57479,ASV,Both,Both,ASV
Pv_Sw_9_s_04,55671,ASV,Both,Both,ASV
Gb_BS_imp_15O4_s_31_R1_filt.fastq.gz,17207,Tabled,Both,Both,FUSION
Gb_BS_imp_18R6_s_38_R1_filt.fastq.gz,37053,Tabled,Both,Both,FUSION
Gb_BS_imp_23W4_s_37_R1_filt.fastq.gz,28453,Tabled,Both,Both,FUSION
Gb_BS_imp_9I4_s_39_R1_filt.fastq.gz,21578,Tabled,Both,Both,FUSION
Gb_BS_unimp_14N5_s_41_R1_filt.fastq.gz,52783,Tabled,Both,Both,FUSION
Gb_BS_unimp_3C6_s_43_R1_filt.fastq.gz,24373,Tabled,Both,Both,FUSION
Gb_BS_unimp_4D2_s_40_R1_filt.fastq.gz,22554,Tabled,Both,Both,FUSION
