Hash,kingdom,phylum,class,order,family,genus,species,max_pident
9a710a9d2a83a96562d2418dcc9bfddbe7187c67,Metazoa,Chordata,Mammalia,Artiodactyla,Tayassuidae,Dicotyles,Dicotyles tajacu,79.402
2b6319c6205f3d5edb1fa7fea3f7fdfd493680e3,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 140616W15,83.333
11ce01beda447669f4e763e5df513988a8252328,Metazoa,Chordata,Mammalia,Artiodactyla,Tayassuidae,Dicotyles,Dicotyles tajacu,79.018
8a1c9da427aa6f155aaa44acd2708f79db93e1d1,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia latirostris,100
206dc620b6e47c7ec604d64d21e408ec1acb2b76,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Trechus,Trechus pongensis,77.372
f46861f1d753d689bfc7c9807279c2db7d68b7f6,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 140616W15,84.076
8aaecac0e73ae0f0ea168309e9214c5ac590bc0c,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 140616W15,83.73
9d49e77a814f7cd281ea83a6c5debe9bad6abe89,NA,NA,NA,NA,NA,NA,NA,86.735
f62b4631ef785a1be87116bb83d3ef224fb5d57c,Metazoa,Arthropoda,Arachnida,Araneae,Agelenidae,Draconarius,Draconarius sp. ZZ913,81.911
d3fe50ca057cec911b8c9d87a71fdb84931cc473,Metazoa,NA,NA,NA,NA,NA,NA,81.29
cd691b2146780fd146bb78a7c3fb0290231b99d0,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Rhodaliidae,Dendrogramma,Dendrogramma enigmatica,88.179
d5798eead82bc40ae3e15fc22dc8a8f73c020d3e,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Laelaps,Laelaps muricola,100
764eb9e5ff2053acf0f9d9e5927afd50a3b0bf42,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Galbibacter,Galbibacter sp. BG1,79.111
0f14f9dbe59f5bcf3165e095faf76d8f6f2fb414,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Halopterididae,Halopteris,Halopteris violae,100
3e49954c0294d2e467d8b5d3d50c3aada265f246,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Laelaps,Laelaps muricola,88.424
92ec5cba46e32ed0d90e4184353aa62693806185,Metazoa,NA,NA,NA,NA,NA,NA,81.29
4d548b5efb37a5c5806e6326e8a47de1167e6db6,Metazoa,Arthropoda,Arachnida,Araneae,Thomisidae,Xysticus,Xysticus funestus,87.417
a587fdb45a912cff79397927e283d97156f7841a,NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica,77.481
9efd05bef833fd5de0bbdf0b5c076d4b25998c4f,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Rhodaliidae,Dendrogramma,Dendrogramma enigmatica,87.859
